cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,58,8192,512,ck,7,0,4.4958,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,108.22,1150.91,0.0
256,61,8192,512,ck,7,0,4.515,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,113.33,1157.24,0.0
256,44,8192,512,ck,8,0,4.517,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,81.71,1093.14,0.0
256,60,8192,512,ck,8,0,4.5647,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,110.26,1140.94,0.0
256,50,8192,512,ck,8,0,4.5671,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,91.84,1103.35,0.0
256,35,8192,512,cktile,3,0,4.6486,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_2,63.16,1029.49,0.0
256,63,8192,512,cktile,2,0,4.7029,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,112.37,1118.19,0.0
256,43,8192,512,ck,18,0,4.7803,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,75.46,1029.4,0.0
256,67,8192,512,ck,13,0,4.9762,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,112.94,1070.36,0.0
256,68,8192,512,ck,13,0,4.9794,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,114.56,1073.07,0.0
256,69,8192,512,ck,13,0,4.9987,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,115.79,1072.3,0.0
256,71,8192,512,ck,13,0,5.0032,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,119.04,1078.09,0.0
256,70,8192,512,ck,13,0,5.0118,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,117.16,1072.87,0.0
256,75,8192,512,ck,13,0,5.0251,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,125.2,1086.84,0.0
256,79,8192,512,ck,13,0,5.035,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,131.62,1098.13,0.0
256,76,8192,512,ck,13,0,5.0354,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,126.61,1087.98,0.0
256,74,8192,512,ck,12,0,5.0422,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,123.11,1079.81,0.0
256,84,8192,512,ck,13,0,5.0606,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,139.24,1109.27,0.0
256,72,8192,512,ck,13,0,5.0675,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,119.19,1067.75,0.0
256,82,8192,512,ck,13,0,5.0754,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,135.53,1099.38,0.0
256,85,8192,512,ck,18,0,5.0758,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,140.48,1109.28,0.0
256,83,8192,512,ck,12,0,5.0847,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,136.93,1100.69,0.0
